steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
102500,"Kingdoms of Amalur: Reckoningâ„¢",2012-02-09,windows,Action;RPG,8523,1201,252,19.99
102600,"Orcs Must Die!",2011-10-11,windows,Action;Indie;Strategy,5371,180,159,7.99
102810,"Gatling Gears",2011-08-30,windows,Action;Adventure;Indie,87,20,21,7.99
102850,Warp,2012-03-21,windows,Action;Adventure;Indie,199,74,0,7.99
104200,BEEP,2011-05-06,windows,Adventure;Indie,4036,731,140,1.59
104900,"ORION: Prelude",2013-04-16,windows,Action;Adventure;Indie;RPG,22057,7558,263,0.79
105420,"Ms. Splosion Man",2013-04-03,windows,Action;Indie,167,49,0,6.99
105450,"Age of EmpiresÂ® III: Complete Collection",2012-01-05,windows,Simulation;Strategy,13759,1801,902,29.99
105700,"Tobe's Vertical Adventure",2011-07-18,windows,Action;Adventure;Indie,80,50,17,0.79
105800,"PixelJunkâ„¢ Eden",2012-02-02,windows,Action;Casual;Indie,558,140,65,6.99
107300,"Breath of Death VII",2011-07-13,windows,RPG;Indie,994,187,30,0
107310,"Cthulhu Saves the World",2011-07-13,windows,Indie;RPG,2868,222,351,0
107410,"Arma 3",2013-09-12,windows,Action;Simulation;Strategy,105034,12524,18823,29.99
107600,Waves,2011-11-16,windows,Action;Casual;Indie,974,60,11,3.99
108110,"Starpoint Gemini",2012-02-16,windows,RPG;Simulation,35,75,0,10.59
108210,"Memoir '44 Online",2011-10-12,windows,Casual;Simulation;Strategy,177,119,7,0
108500,Vessel,2012-03-01,windows,Action;Indie;Strategy,540,70,21,14.99
108700,"Death Rally",2012-08-03,windows,Action;Racing,376,158,0,6.99
108710,"Alan Wake",2012-02-16,windows,Action;Adventure,22962,2163,239,11.39
108800,"Crysis 2 - Maximum Edition",2011-03-22,windows,Action,6724,1432,176,19.99
109200,"Legend of Fae",2011-07-26,windows,Casual;Indie,77,22,0,6.99
109500,"Fowl Space",2012-03-21,windows,Action;Indie,116,77,0,3.99
109600,Neverwinter,2013-12-05,windows,"Adventure;Free to Play;Massively Multiplayer;RPG",18517,5297,1273,0
109700,Achron,2011-08-29,windows,Indie;Strategy,54,32,0,14.99
110400,inMomentum,2011-10-31,windows,Indie;Racing,117,40,0,6.99
110600,"Astro Tripper",2011-09-15,windows,Action;Indie,30,26,0,3.99
110610,"Alien Zombie Megadeath",2011-10-18,windows,Action;Indie,47,17,0,3.99
110630,"Mutant Storm: Reloaded",2012-03-21,windows,Action;Indie,23,14,0,3.99
110800,"L.A. Noire",2011-11-08,windows,Adventure;Strategy,14096,2315,428,19.99
111400,"Bunch of Heroes",2011-09-21,windows,Action;Indie,180,206,27,3.99
111600,"Serious Sam Double D XXL",2011-08-30,windows,Action;Indie,514,92,527,6.99
113400,"APB Reloaded",2011-12-06,windows,"Action;Free to Play;Massively Multiplayer",20028,11779,3835,0
113420,"Fallen Earth Free2Play",2012-02-22,windows,"Free to Play;Massively Multiplayer;RPG",3938,3142,107,0
115120,"Iron Brigade",2012-08-13,windows,Action;Strategy,573,124,21,10.99
115200,"Cossacks II: Napoleonic Wars",2011-08-26,windows,Strategy,151,183,17,3.99
115210,"American Conquest",2011-08-26,windows,Strategy,180,92,0,3.99
115220,"American Conquest: Fight Back",2011-08-26,windows,Strategy,151,73,2,3.99
115320,"Prototype 2",2012-07-26,windows,Action;Adventure,5411,2244,698,19.99
200010,"Quantum Conundrum",2012-06-21,windows,Casual;Strategy,1224,225,162,6.99
200020,"Global Ops: Commando Libya",2011-10-26,windows,Action,131,191,0,3.99
200130,"Puzzler World 2",2011-10-24,windows,Casual;Indie;Strategy,150,44,61,4.99
200150,"Battle Chess: Game of Kingsâ„¢",2015-12-11,windows,Casual;Strategy,94,110,0,22.99
200170,"Worms Revolution",2012-10-10,windows,Strategy,3922,686,445,10.99
200190,"Sidewayâ„¢ New York",2011-11-15,windows,Adventure;Indie,68,40,0,6.99
200230,"Off-Road Drive",2011-09-29,windows,Racing;Simulation,286,177,0,3.99
200370,"A Game of Dwarves",2012-10-23,windows,Strategy;Casual,275,167,991,7.99
200410,"SOL: Exodus",2012-01-25,windows,Action;Indie;Simulation,45,47,0,5.59
200490,"Memento Mori",2012-11-09,windows,Adventure,68,48,4,9.99
200550,"Dungeons - The Dark Lord",2011-09-27,windows,RPG;Simulation;Strategy,65,113,3,14.99
200670,"Disciples III - Resurrection",2011-10-11,windows,Strategy,54,101,0,9.99
200960,"Geneforge 1",2001-12-01,windows,Strategy;RPG;Indie,268,17,0,0
200980,"Geneforge 2",2003-07-01,windows,Strategy;RPG;Indie,32,3,0,0
200990,"Geneforge 3",2005-04-01,windows,Strategy;RPG;Indie,26,4,0,0
201000,"Geneforge 4: Rebellion",2006-11-01,windows,Strategy;RPG;Indie,24,2,0,0
201010,"Geneforge 5: Overthrow",2008-11-01,windows,Strategy;RPG;Indie,60,6,0,0
201070,"Revelations 2012",2012-04-23,windows,Action;Indie;Strategy,188,133,8,0
201230,"EverQuest II",2011-12-07,windows,"Free to Play;Massively Multiplayer;RPG",846,319,548,0
201290,"Sins of a Solar Empire: TrinityÂ®",2011-11-16,windows,Strategy,428,149,145,15.49
201480,"Serious Sam: The Random Encounter",2011-10-24,windows,Action;Indie;RPG,330,310,18,3.99
201490,"Airline Tycoon 2",2011-10-24,windows,Simulation;Strategy,61,386,0,6.99
201510,"Flatout 3: Chaos & Destruction",2011-12-13,windows,Racing,290,1874,19,6.99
201570,"Really Big Sky",2012-02-24,windows,Action;Indie,1429,462,247,3.99
201790,"Orcs Must Die! 2",2012-07-30,windows,Action;Indie;Strategy,13321,682,429,11.99
201810,"Wolfenstein: The New Order",2014-05-19,windows,Action,26727,3011,539,14.99
201870,"Assassin's CreedÂ® Revelations",2011-11-30,windows,Action;Adventure,5912,1055,1153,12.49
202130,Impire,2013-02-14,windows,Strategy,167,208,76,14.99
202200,"Galactic CivilizationsÂ® II: Ultimate Edition",2011-12-02,windows,Indie;Strategy,894,300,13,14.99
202310,"Ridge Racerâ„¢ Unbounded",2012-03-29,windows,Racing,541,450,0,7.99
202370,"Scary Girl",2012-04-09,windows,Action,36,24,31,4.99
202690,"Hegemony Gold: Wars of Ancient Greece",2012-03-30,windows,Indie;Strategy,117,4,5,10.99
202710,Demigod,2011-12-14,windows,Nudity;Violent;Action;RPG;Strategy,564,212,149,7.19
202750,"Alan Wake's American Nightmare",2012-05-22,windows,Action;Adventure,3598,1468,71,6.19
202860,"Real Warfare 2: Northern Crusades",2011-11-18,windows,Strategy,36,49,0,3.99
202970,"Call of DutyÂ®: Black Ops II",2012-11-12,windows,Action,25827,4658,524,39.99
203290,"America's Army: Proving Grounds",2013-08-01,windows,"Action;Free to Play",6413,1902,89,0
203510,"Fortune Summoners",2012-01-30,windows,Action;Indie;RPG,581,93,27,12.99
203630,"Warlock - Master of the Arcane",2012-05-08,windows,Strategy,1811,293,115,18.99
203650,"Sonic the Hedgehog 4 - Episode II",2012-05-14,windows,Adventure,663,206,577,5.99
203680,"F1 RACE STARSâ„¢",2012-11-15,windows,Racing,689,215,42,10.99
203750,"Binary Domain",2012-04-26,windows,Action,4416,742,639,9.99
204030,"Fable - The Lost Chapters",2011-12-19,windows,Action;Adventure;RPG,4384,364,494,6.99
204100,"Max Payne 3",2012-05-31,windows,Action,21581,4374,464,14.99
204120,"LEGOÂ® Harry Potter: Years 5-7",2012-01-05,windows,Adventure,628,104,1904,14.99
204340,"Serious Sam 2",2012-01-31,windows,Action;Indie,5353,702,233,6.99
204390,"Pineapple Smash Crew ",2012-02-02,windows,Action;Indie,94,20,0,6.99
204560,Confrontation,2012-04-04,windows,Action;RPG;Strategy,77,228,0,6.99
204580,Rotastic,2012-10-11,windows,Action;Casual,23,4,0,7.99
204760,"Deep Black: Reloaded",2012-04-18,windows,Action,52,144,0,22.99
204860,"Men of War: Condemned Heroes",2012-04-12,windows,Action;Strategy,188,101,115,5.59
204880,"Sins of a Solar Empire: RebellionÂ®",2012-06-12,windows,Indie;Strategy,8642,712,507,30.99
204940,"Crusader Kings Complete",2012-02-14,windows,Strategy,89,53,60,7.99
204960,"Magical Drop V",2012-11-15,windows,Casual;Indie,218,192,182,0.79
205100,Dishonored,2012-10-11,windows,Action;Adventure,41756,1269,749,7.99
205190,Rocksmithâ„¢,2012-10-18,windows,Casual;Simulation,869,80,1371,25.99
205230,"Hell Yeah! Wrath of the Dead Rabbit",2012-10-03,windows,Action,2712,434,188,9.99
205270,"3DMark 11",2012-10-02,windows,Utilities,29,7,0,14.99
205610,"Port Royale 3",2012-05-04,windows,Action;Simulation;Strategy,479,214,64,9.99
205650,"The Testament of Sherlock Holmes",2012-09-20,windows,Adventure,1488,301,1,14.99
205710,EverQuest,2012-12-13,windows,"Free to Play;Massively Multiplayer;RPG",598,219,20,0
205810,"Jagged Alliance: Crossfire",2012-08-24,windows,RPG;Simulation;Strategy,112,75,0,9.99
205830,"Luxor Evolved",2012-03-01,windows,Action;Indie;Casual,196,18,94,6.99
205840,Yesterday,2012-03-22,windows,Adventure,551,113,126,6.99
205950,"Jet Set Radio",2012-09-19,windows,Action,3398,631,207,5.59
206020,"Avernum 4",2012-05-11,windows,RPG;Indie,55,10,0,0
206040,"Avernum 5",2012-05-11,windows,RPG;Indie,17,4,0,3.99
206060,"Avernum 6",2012-05-11,windows,RPG;Indie,36,2,0,3.99
206210,"Gotham City Impostors Free to Play",2012-08-30,windows,"Action;Free to Play",9269,1773,120,0
206230,"Clan of Champions",2012-10-30,windows,Action,31,22,0,1.59
206250,"Cladun X2 / ã‚¯ãƒ©ã‚·ãƒƒã‚¯ãƒ€ãƒ³ã‚¸ãƒ§ãƒ³X2",2012-08-14,windows,Action;Indie;RPG,78,27,541,6.99
206410,"Crazy Machines Elements",2012-02-10,windows,Casual;Strategy,18,6,0,6.99
206500,"AirMech Strike",2018-03-30,windows,"Action;Free to Play;Indie;Strategy",7640,1440,441,0
207020,"Bang Bang Racing",2012-06-08,windows,Racing,317,82,0,7.99
207190,Fireburst,2012-04-25,windows,Action;Adventure;Racing,72,69,0,6.99
207230,ArcheBladeâ„¢,2014-04-25,windows,"Action;Free to Play;Indie",5642,2086,640,0
207320,"Ys: The Oath in Felghana",2012-03-19,windows,Action;Adventure;RPG,936,57,635,9.99
207350,"Ys Origin",2012-05-31,windows,Action;Adventure;RPG,1811,91,826,12.99
207370,"eXceed - Gun Bullet Children",2012-08-02,windows,Action;Indie,204,215,97,1.99
207380,"eXceed 2nd - Vampire REX",2012-08-02,windows,Action,193,29,147,4.79
207400,"eXceed 3rd - Jade Penetrate Black Package",2012-08-02,windows,Action,489,41,127,4.79
